iter	Passed	Remaining
773	7291	2128
774	7301	2119
775	7311	2110
776	7320	2100
777	7330	2091
778	7338	2081
779	7348	2072
780	7356	2062
781	7366	2053
782	7374	2043
783	7384	2034
784	7394	2025
785	7403	2015
786	7414	2006
787	7423	1997
788	7433	1987
789	7446	1979
790	7455	1969
791	7465	1960
792	7475	1951
793	7485	1941
794	7495	1932
795	7503	1922
796	7516	1914
797	7527	1905
798	7535	1895
799	7546	1886
800	7554	1876
801	7564	1867
802	7573	1858
803	7582	1848
804	7592	1839
805	7600	1829
806	7609	1819
807	7617	1810
808	7631	1801
809	7644	1793
810	7654	1783
811	7662	1774
812	7671	1764
813	7680	1754
814	7689	1745
815	7697	1735
816	7706	1726
817	7714	1716
818	7724	1707
819	7733	1697
820	7743	1688
821	7752	1678
822	7760	1668
823	7768	1659
824	7777	1649
825	7786	1640
826	7795	1630
827	7804	1621
828	7812	1611
829	7822	1602
830	7830	1592
831	7842	1583
832	7851	1574
833	7859	1564
834	7868	1554
835	7876	1545
836	7886	1535
837	7893	1526
838	7904	1516
839	7912	1507
840	7923	1497
841	7933	1488
842	7943	1479
843	7952	1469
844	7961	1460
845	7970	1450
846	7978	1441
847	7987	1431
848	7995	1422
849	8004	1412
850	8013	1403
851	8023	1393
852	8033	1384
853	8041	1374
854	8052	1365
855	8061	1356
856	8069	1346
857	8079	1337
858	8087	1327
859	8096	1318
860	8104	1308
861	8114	1299
862	8123	1289
863	8132	1280
864	8141	1270
865	8152	1261
866	8162	1252
867	8171	1242
868	8181	1233
869	8189	1223
870	8199	1214
871	8208	1204
872	8217	1195
873	8227	1186
874	8235	1176
875	8244	1167
876	8253	1157
877	8263	1148
878	8272	1138
879	8281	1129
880	8290	1119
881	8300	1110
882	8311	1101
883	8319	1091
884	8329	1082
885	8337	1072
886	8346	1063
887	8354	1053
888	8365	1044
889	8374	1035
890	8383	1025
891	8396	1016
892	8405	1007
893	8413	997
894	8423	988
895	8431	978
896	8441	969
897	8449	959
898	8458	950
899	8467	940
900	8478	931
901	8488	922
902	8496	912
903	8506	903
904	8514	893
905	8524	884
906	8532	874
907	8541	865
908	8550	855
909	8559	846
910	8569	837
911	8578	827
912	8588	818
